Checklist Id, Date, Species Code, English name, Amount
S16890282, 16-4-2024, cowpig1, Common Woodpigeon, 1
S16890282, 16-4-2024, eurmag1, Common Magpie, 4
S16890282, 16-4-2024, eurjac, Eurasian Jackdaw, 1
S16890282, 16-4-2024, carcro1, Carrion Crow, 1
S16890282, 16-4-2024, coatit2, Coal Tit, 1
S16890282, 16-4-2024, blutit, Eurasian Blue Tit, 2
S16890282, 16-4-2024, dunnoc1, Dunnock, 2
S168989707, 17-4-2024, cowpig1, Common Woodpigeon, 2
S168989707, 17-4-2024, eucdov, Collared Dove, 2
S168989707, 17-4-2024, eurmag1, Common Magpie, 2
S168989707, 17-4-2024, carcro1, Carrion Crow, 2
S168989707, 17-4-2024, coatit2, Coal Tit, 1
S168989707, 17-4-2024, blutit, Eurasian Blue Tit, 2
S168989707, 17-4-2024, comcha, Common Chaffinch, 1
S169047286, 17-4-2024, cowpig1, Common Woodpigeon, 1
S169047286, 17-4-2024, eurmag1, Common Magpie, 7
S169047286, 17-4-2024, coatit2, Coal Tit, 1
S169047286, 17-4-2024, blutit, Eurasian Blue Tit, 1
S169047286, 17-4-2024, dunnoc1, Dunnock, 3
S169122733, 18-4-2024, cowpig1, Common Woodpigeon, 1
S169122733, 18-4-2024, eucdov, Collared Dove, 2
S169122733, 18-4-2024, eurmag1, Common Magpie, 5
S169122733, 18-4-2024, eurjac, Eurasian Jackdaw, 1
S169122733, 18-4-2024, carcro1, Carrion Crow, 2
S169122733, 18-4-2024, coatit2, Coal Tit, 1
S169122733, 18-4-2024, blutit, Eurasian Blue Tit, 1
S169178508, 18-4-2024, eucdov, Collared Dove, 2
S169178508, 18-4-2024, eurmag1, Common Magpie, 3
S169178508, 18-4-2024, carcro1, Carrion Crow, 1
S169178508, 18-4-2024, coatit2, Coal Tit, 1
S169178508, 18-4-2024, dunnoc, Dunnock, 6
S169398828, 20-4-2024, cowpig1, Common Woodpigeon, 1
S169398828, 20-4-2024, eurmag1, Common Magpie, 7
S169398828, 20-4-2024, carcro1, Carrion Crow, 2
S169398828, 20-4-2024, coatit2, Coal Tit, 2
S169398828, 20-4-2024, blutit, Eurasian Blue Tit, 2
S169398828, 20-4-2024, houspa, House Sparrow, 2
S169427154, 20-4-2024, eurspa1, Eurasian Sparrowhawk, 1
S169609088, 21-4-2024, cowpig1, Common Woodpigeon, 1
S169609088, 21-4-2024, eucdov, Collared Dove, 2
S169609088, 21-4-2024, eurmag1, Common Magpie, 3
S169609088, 21-4-2024, carcro1, Carrion Crow, 2
S169609088, 21-4-2024, blutit, Eurasian Blue Tit, 2
S169609088, 21-4-2024, dunnoc, Dunnock, 2
S169609088, 21-4-2024, houspa, House Sparrow, 2
S169760756, 22-4-2024, cowpig1, Common Woodpigeon, 1
S169760756, 22-4-2024, eucdov, Collared Dove, 2
S169760756, 22-4-2024, eurmag1, Common Magpie, 1
S169760756, 22-4-2024, eurjac, Eurasian Jackdaw, 1
S169760756, 22-4-2024, carcro1, Carrion Crow, 2
S169760756, 22-4-2024, gretit1, Great Tit, 1
S169938514, 23-4-2024, cowpig1, Common Woodpigeon, 3
S169938514, 23-4-2024, eurmag1, Common Magpie, 2
S169938514, 23-4-2024, carcro1, Carrion Crow, 2
S169938514, 23-4-2024, gretit1, Great Tit, 2
S169938514, 23-4-2024, eurrob1, European Robin, 1
